datetime,preciptype,sunrise,sunset,conditions,description,icon,stations
2024-05-11,,2024-05-11T06:13:58,2024-05-11T21:21:02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-05-12,rain,2024-05-12T06:12:33,2024-05-12T21:22:25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07145099999,07157099999,C1292,07147099999,07150099999"
2024-05-13,rain,2024-05-13T06:11:10,2024-05-13T21:23:46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-05-14,rain,2024-05-14T06:09:49,2024-05-14T21:25:07,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07145099999,07157099999,C1292,07147099999,07150099999"
2024-05-15,rain,2024-05-15T06:08:30,2024-05-15T21:26:28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999,D3623"
2024-05-16,rain,2024-05-16T06:07:12,2024-05-16T21:27:47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"07149099999,07156099999,07146099999,07145099999,07157099999,C1292,07147099999,07150099999"
2024-05-17,rain,2024-05-17T06:05:57,2024-05-17T21:29:05,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-05-18,rain,2024-05-18T06:04:44,2024-05-18T21:30:23,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"07149099999,07156099999,07146099999,07145099999,07157099999,C1292,07147099999,07150099999"
2024-05-19,rain,2024-05-19T06:03:32,2024-05-19T21:31:39,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07145099999,07157099999,C1292,07147099999,07150099999"
2024-05-20,rain,2024-05-20T06:02:23,2024-05-20T21:32:55,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"07149099999,07156099999,07146099999,07145099999,07157099999,C1292,07147099999,07150099999"
2024-05-21,rain,2024-05-21T06:01:16,2024-05-21T21:34:09,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07145099999,07157099999,C1292,07147099999,07150099999"
2024-05-22,rain,2024-05-22T06:00:11,2024-05-22T21:35:22,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07145099999,07157099999,C1292,07147099999,07150099999"
2024-05-23,rain,2024-05-23T05:59:09,2024-05-23T21:36:34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07145099999,07157099999,C1292,07147099999,07150099999"
2024-05-24,rain,2024-05-24T05:58:09,2024-05-24T21:37:44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07157099999,C1292,07147099999,07150099999"
2024-05-25,rain,2024-05-25T05:57:11,2024-05-25T21:38:53,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"07149099999,07156099999,07146099999,07145099999,07157099999,C1292,07147099999,07150099999"
2024-05-26,rain,2024-05-26T05:56:15,2024-05-26T21:40:01,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"07149099999,07156099999,07146099999,07153099999,07157099999,C1292,07147099999,07150099999"
2024-05-27,rain,2024-05-27T05:55:22,2024-05-27T21:41:07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07145099999,07157099999,C1292,07147099999,07150099999"
2024-05-28,rain,2024-05-28T05:54:31,2024-05-28T21:42:12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-05-29,rain,2024-05-29T05:53:42,2024-05-29T21:43:15,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07145099999,07157099999,C1292,07147099999,07150099999"
2024-05-30,rain,2024-05-30T05:52:56,2024-05-30T21:44:17,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07145099999,07157099999,C1292,07147099999,07150099999"
2024-05-31,rain,2024-05-31T05:52:13,2024-05-31T21:45:17,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07145099999,07157099999,C1292,07147099999,07150099999"
2024-06-01,rain,2024-06-01T05:51:32,2024-06-01T21:46:15,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-06-02,rain,2024-06-02T05:50:54,2024-06-02T21:47:11,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"07149099999,07156099999,07146099999,07153099999,07157099999,C1292,07147099999,07150099999"
2024-06-03,rain,2024-06-03T05:50:18,2024-06-03T21:48:05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,LFPV,07157099999,C1292,07147099999,LFPO,07150099999,LFPB"
2024-06-04,rain,2024-06-04T05:49:45,2024-06-04T21:48:58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-06-05,rain,2024-06-05T05:49:14,2024-06-05T21:49:48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-06-06,,2024-06-06T05:48:46,2024-06-06T21:50:36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-06-07,,2024-06-07T05:48:21,2024-06-07T21:51:23,Clear,Clear conditions throughout the day.,clear-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-06-08,,2024-06-08T05:47:58,2024-06-08T21:52:07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-06-09,,2024-06-09T05:47:39,2024-06-09T21:52:48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-06-10,rain,2024-06-10T05:47:22,2024-06-10T21:53:28,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"07149099999,07156099999,07146099999,07145099999,07157099999,C1292,07147099999,07150099999"
2024-06-11,rain,2024-06-11T05:47:07,2024-06-11T21:54:05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
2024-06-12,rain,2024-06-12T05:46:55,2024-06-12T21:54:40,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
